state_id,ready_jobs,machine_idle,proc_times_sample,makespan,num_actions,actions
0,"[1, 1, 1, 0]","[1, 1, 1, 1]","[3, 5, 4, 2, 4, 3]",1,11,J1-Op1-M1->sid1; J1-Op1-M2->sid2; J1-Op1-M3->sid3; J1-Op1-M4->sid4; J2-Op1-M1->sid5; J2-Op1-M2->sid6; J2-Op1-M3->sid7; J2-Op1-M4->sid8; J3-Op1-M1->sid9; J3-Op1-M2->sid10; J3-Op1-M3->sid11
1,"[0, 1, 1, 0]","[0, 1, 1, 1]","[0, 0, 0, 0, 4, 3]",3,5,J2-Op1-M2->sid12; J2-Op1-M3->sid13; J2-Op1-M4->sid14; J3-Op1-M2->sid15; J3-Op1-M3->sid16
2,"[0, 1, 1, 0]","[1, 0, 1, 1]","[0, 0, 0, 0, 4, 3]",5,5,J2-Op1-M1->sid17; J2-Op1-M3->sid18; J2-Op1-M4->sid19; J3-Op1-M1->sid20; J3-Op1-M3->sid21
3,"[0, 1, 1, 0]","[1, 1, 0, 1]","[0, 0, 0, 0, 4, 3]",4,5,J2-Op1-M1->sid22; J2-Op1-M2->sid23; J2-Op1-M4->sid24; J3-Op1-M1->sid25; J3-Op1-M2->sid26
4,"[0, 1, 1, 0]","[1, 1, 1, 0]","[0, 0, 0, 0, 4, 3]",2,6,J2-Op1-M1->sid27; J2-Op1-M2->sid28; J2-Op1-M3->sid29; J3-Op1-M1->sid30; J3-Op1-M2->sid31; J3-Op1-M3->sid32
5,"[1, 0, 1, 0]","[0, 1, 1, 1]","[3, 5, 4, 2, 0, 0]",4,5,J1-Op1-M2->sid17; J1-Op1-M3->sid22; J1-Op1-M4->sid27; J3-Op1-M2->sid33; J3-Op1-M3->sid34
6,"[1, 0, 1, 0]","[1, 0, 1, 1]","[3, 5, 4, 2, 0, 0]",3,5,J1-Op1-M1->sid12; J1-Op1-M3->sid23; J1-Op1-M4->sid28; J3-Op1-M1->sid35; J3-Op1-M3->sid36
7,"[1, 0, 1, 0]","[1, 1, 0, 1]","[3, 5, 4, 2, 0, 0]",2,5,J1-Op1-M1->sid13; J1-Op1-M2->sid18; J1-Op1-M4->sid29; J3-Op1-M1->sid37; J3-Op1-M2->sid38
8,"[1, 0, 1, 0]","[1, 1, 1, 0]","[3, 5, 4, 2, 0, 0]",6,6,J1-Op1-M1->sid14; J1-Op1-M2->sid19; J1-Op1-M3->sid24; J3-Op1-M1->sid39; J3-Op1-M2->sid40; J3-Op1-M3->sid41
9,"[1, 1, 0, 0]","[0, 1, 1, 1]","[3, 5, 4, 2, 4, 3]",2,6,J1-Op1-M2->sid20; J1-Op1-M3->sid25; J1-Op1-M4->sid30; J2-Op1-M2->sid35; J2-Op1-M3->sid37; J2-Op1-M4->sid39
10,"[1, 1, 0, 0]","[1, 0, 1, 1]","[3, 5, 4, 2, 4, 3]",6,6,J1-Op1-M1->sid15; J1-Op1-M3->sid26; J1-Op1-M4->sid31; J2-Op1-M1->sid33; J2-Op1-M3->sid38; J2-Op1-M4->sid40
11,"[1, 1, 0, 0]","[1, 1, 0, 1]","[3, 5, 4, 2, 4, 3]",3,6,J1-Op1-M1->sid16; J1-Op1-M2->sid21; J1-Op1-M4->sid32; J2-Op1-M1->sid34; J2-Op1-M2->sid36; J2-Op1-M4->sid41
12,"[0, 0, 1, 0]","[0, 0, 1, 1]","[0, 0, 0, 0, 0, 0]",3,1,J3-Op1-M3->sid42
13,"[0, 0, 1, 0]","[0, 1, 0, 1]","[0, 0, 0, 0, 0, 0]",3,1,J3-Op1-M2->sid43
14,"[0, 0, 1, 0]","[0, 1, 1, 0]","[0, 0, 0, 0, 0, 0]",6,2,J3-Op1-M2->sid44; J3-Op1-M3->sid45
15,"[0, 1, 0, 0]","[0, 0, 1, 1]","[0, 0, 0, 0, 4, 3]",6,2,J2-Op1-M3->sid43; J2-Op1-M4->sid44
16,"[0, 1, 0, 0]","[0, 1, 0, 1]","[0, 0, 0, 0, 4, 3]",3,2,J2-Op1-M2->sid42; J2-Op1-M4->sid45
