#{"t_start": 1754854117.6311412, "env_id": "None"}
r,l,t
26.201174,55,6.361015
26.729152,55,6.369653
21.098469,55,6.377452
27.818338,55,6.384903
26.171962,55,6.392085
35.757127,55,6.399071
38.022874,55,6.405769
9.616358,55,6.412267
18.45756,55,6.418595
13.845225,55,6.425036
26.757559,55,6.431519
20.499981,55,6.43781
9.723897,55,6.444114
35.35071,55,6.450534
8.856289,55,6.458517
15.148429,55,6.465492
4.7077,55,6.472802
37.30896,55,6.480008
22.777816,55,6.487339
1.716654,55,6.494717
14.801176,55,6.502495
33.543663,55,6.509778
22.970393,55,6.516995
24.105311,55,6.52497
16.456289,55,6.532527
24.021977,55,6.539943
36.330878,55,6.54741
31.045133,55,6.554645
7.235072,55,6.563265
15.28588,55,6.570698
45.700199,55,6.578074
11.911524,55,6.585524
16.647511,55,6.592799
24.375423,55,6.600075
36.18954,55,6.607514
27.845818,55,6.614857
35.61033,55,6.622283
21.133317,55,7.026408
31.690596,55,7.032989
34.560977,55,7.039688
29.233317,55,7.046293
30.162482,55,7.052843
17.027763,55,7.059447
27.605311,55,7.065958
13.711146,55,7.072494
13.894855,55,7.080136
24.119214,55,7.087086
12.472958,55,7.094048
3.799413,55,7.100926
8.161521,55,7.107825
23.233316,55,7.114737
15.90727,55,7.12157
14.14443,55,7.128397
30.037057,55,7.135227
28.235003,55,7.142143
30.999984,55,7.148965
17.639921,55,7.155823
28.536006,55,7.162818
28.368338,55,7.169688
9.24847,55,7.176644
24.866649,55,7.184538
16.783024,55,7.191638
21.085885,55,7.198874
23.53176,55,7.206026
15.915093,55,7.213127
18.048469,55,7.220215
30.599985,55,7.227285
25.566651,55,7.234392
18.493487,55,7.241492
32.984043,55,7.248627
22.217843,55,7.256063
32.266651,55,7.263297
23.810977,55,7.270606
3.344857,55,7.277654
23.053725,55,7.68678
32.033318,55,7.693611
14.216652,55,7.700494
15.498427,55,7.708189
17.499985,55,7.715366
30.502669,55,7.722051
15.877812,55,7.728559
32.051669,55,7.73517
0.540565,55,7.741683
25.980842,55,7.748422
32.892092,55,7.755128
20.303725,55,7.761719
32.833317,55,7.768394
9.001176,55,7.775052
34.599985,55,7.78168
24.74448,55,7.788372
20.811145,55,7.795086
15.211145,55,7.801802
20.388643,55,7.809382
16.706588,55,7.816179
19.935698,55,7.823313
35.764799,55,7.830467
44.299981,55,7.837398
18.139625,55,7.8443
21.964177,55,7.851223
34.883317,55,7.85813
13.841031,55,7.864985
22.684042,55,7.87188
28.751667,55,7.878758
29.118337,55,7.885604
35.968335,55,7.892465
44.826993,55,7.899341
29.856211,55,7.906234
16.740893,55,7.913136
25.605312,55,7.920834
38.907127,55,7.927838
6.7239,55,7.934843
37.41665,55,8.375632
18.288643,55,8.382547
26.399983,55,8.389498
7.560155,55,8.396412
4.695224,55,8.403269
36.264799,55,8.410203
4.198361,55,8.417066
40.007124,55,8.423973
9.73169,55,8.430909
34.151147,55,8.437734
19.39847,55,8.445351
23.873255,55,8.45258
35.649985,55,8.459534
10.449693,55,8.466543
13.735884,55,8.473462
16.149983,55,8.480371
26.195819,55,8.487253
18.440893,55,8.494085
7.573901,55,8.501015
21.349985,55,8.507824
44.032143,55,8.514795
32.805292,55,8.521802
13.885697,55,8.528765
22.520393,55,8.535617
20.452673,55,8.542494
26.669339,55,8.55036
37.15167,55,8.556937
18.464178,55,8.563543
2.097835,55,8.570036
34.714208,55,8.576603
25.85531,55,8.583099
35.633315,55,8.589696
8.961526,55,8.596173
29.618336,55,8.602723
17.531761,55,8.60931
28.90531,55,8.615808
32.457126,55,8.622457
20.506586,55,9.046374
11.844478,55,9.053031
26.94209,55,9.059815
27.121977,55,9.066609
1.448358,55,9.074419
22.849986,55,9.081596
14.141028,55,9.088673
16.281762,55,9.095748
39.825626,55,9.102665
44.966648,55,9.10968
42.333316,55,9.116696
17.611522,55,9.123876
23.762485,55,9.130948
20.533319,55,9.138073
29.077644,55,9.145048
11.244425,55,9.152069
13.277763,55,9.159031
24.869033,55,9.166031
22.738644,55,9.172985
16.511147,55,9.181012
24.516648,55,9.187872
19.507267,55,9.194594
40.580878,55,9.201272
26.277645,55,9.208062
28.805298,55,9.214761
11.316079,55,9.221582
23.903726,55,9.228282
23.897509,55,9.235082
21.601175,55,9.24197
36.573793,55,9.248696
25.85071,55,9.255358
13.627815,55,9.262149
21.198428,55,9.268819
23.771976,55,9.275591
15.002368,55,9.283074
10.557699,55,9.289946
2.146502,55,9.296996
16.948469,55,9.303936
27.002675,55,9.727611
